Id,Vendor,Product,Version,Type,End-Of-Life
1069,Cisco,Cisco PVC2300 Business Internet Video Camera,,1,0
1070,Cisco,Cisco Universal Small Cell 7000 Series,,1,0
1071,Cisco,Cisco Videoscape Distribution Suite Optimization Engine (VDS-OE) 1.x,1.x,1,0
1072,Cisco,Cisco Video Surveillance Media Server Software 4.x,4.x,2,0
1073,Cisco,Cisco Show and Share 5.x,5.x,1,0
1074,Cisco,Cisco Unified Communications Manager 6.x,6.x,2,1
1075,Cisco,Cisco Video Surveillance 2600 Series IP Camera 4.x,4.x,1,0
1076,Cisco,Cisco TelePresence SX Series,,1,0
1077,Cisco,Cisco Catalyst 6500/Cisco 7600 Router Anomaly Guard Module,,2,-1
1078,Cisco,Cisco Unified Contact Center Express 10.x,10.x,2,0
1079,Cisco,Cisco Unified Customer Voice Portal 4.x,4.x,2,-1
1080,Cisco,Cisco MediaSense,,1,0
1081,Cisco,CiscoWorks Resource Manager Essentials (RME) 3.x,3.x,2,-1
1082,Cisco,CiscoWorks Hosting Solution Engine 1.x,1.x,1,-1
1083,Cisco,Cisco Personal Assistant Version 1.4x,,2,-1
1084,Cisco,Cisco Aironet 1100 Series Access Point,,1,-1
1085,Cisco,Cisco Tidal Enterprise Scheduler 6.x,6.x,2,0
1086,Cisco,Linksys WRT54G2 Wireless-G Broadband Router,,1,0
1087,Cisco,Linksys WRT54GX Wireless-G Broadband Router with SRX,2.x,1,-1
1088,Cisco,Cisco 3745 Multiservice Access Router 12.x,12.x,1,0
1089,Cisco,Cisco Aironet 3600 Series Access Point,,1,0
1090,Cisco,CiscoWorks CiscoView 6.1.x,6.1.x,2,-1
1091,Cisco,Cisco Unified Communications Manager 10.x,10.x,2,0
1092,Cisco,InfoExpress CyberArmor 4.x,4.x,2,0
1093,Cisco,CISCO Portforwarder ActiveX Control 1.x,1.x,2,-1
1094,Cisco,Cisco Connected Grid Router (CGR) 1000 Series,,1,0
1095,Cisco,Cisco ONS 15000 Series,,1,-1
1096,Cisco,Cisco TelePresence System 1300 Series,,1,0
1097,Cisco,Cisco Secure Access Control System (ACS) 5.x,5.x,1,0
1098,Cisco,Cisco PIX 4.x,4.x,1,-1
1099,Cisco,Cisco IPSec VPN Services Module,,2,-1
1100,Cisco,Cisco PGW 2200 Softswitch 9.x,9.x,2,0
1101,Cisco,Cisco Unified Video Advantage 2.x,2.x,2,-1
1102,Cisco,Cisco Digital Media Manager 5.x,5.x,1,0
1103,Cisco,Cisco 5508 Wireless Controller 7.x,7.x,2,0
1104,Cisco,Cisco ASA 5500-X Series Adaptive Security Appliances,,1,0
1105,Cisco,Cisco Mainframe Channel Connection (CMCC),,1,-1
1106,Cisco,Cisco Works 2000,,2,-1
1107,Cisco,Cisco Video Surveillance Manager (VSM),,2,0
1108,Cisco,Cisco 2610 Multiservice Platform 12.x,12.x,1,0
1109,Cisco,Cisco ASA 1000V Cloud Firewall 8.x,8.x,1,0
1110,Cisco,Cisco NX-OS 5.x,5.x,1,0
1111,Cisco,Linksys WKPC54G (WRK54G),1.x,1,-1
1112,Cisco,CiscoWorks Service Management Solution,,1,-1
1113,Cisco,Cisco Trust Agent 2.x,2.x,2,-1
1114,Cisco,Cisco ASA 5500 Series Adaptive Security Appliances,,1,0
1115,Cisco,Cisco Threat Response 2.x,2.x,2,-1
1116,Cisco,Cisco Unified Intelligent Contact Management Hosted (ICMH) 7.x,7.x,2,-1
1117,Cisco,Cisco Video Surveillance Services Platform and Integrated Services Platform 1.x,1.x,1,-1
1118,Cisco,Cisco Unified Contact Center Express 7.x,7.x,2,-1
1119,Cisco,Cisco MGX 8900 Series Multiservice Switches,,1,-1
1120,Cisco,Cisco IPS 4300 Series Sensor,,1,0
1121,Cisco,Cisco IOS XE 3.10.x,3.10.x,1,0
1122,Cisco,Linksys WVC54GCA,,1,-1
1123,Cisco,Cisco Videoscape Distribution Suite for Internet Streaming (VDS-IS) 4.x,4.x,1,0
1124,Cisco,Cisco Emergency Responder 8.x,8.x,2,0
1125,Cisco,Cisco Videoscape Distribution Suite Service Broker (VDS-SB) 1.x,1.x,1,0
1126,Cisco,Cisco Unity Connection 8.x,8.x,2,0
1127,Cisco,Cisco Hosted Collaboration Solution 9.x,9.x,2,0
1128,Cisco,Cisco SA 500 Series Security Appliances,,1,0
1129,Cisco,Cisco CATOS 8.x,8.x,1,-1
1130,Cisco,Cisco Unified IP Phones 7800 Series,,1,0
1131,Cisco,Cisco Guard 5.x,5.x,1,-1
1132,Cisco,Cisco CATOS 7.x,7.x,1,-1
1133,Cisco,Cisco IOS XR 3.x,3.x,1,-1
1134,Cisco,CiscoWorks Device Fault Manager 2.0.x,2.0.x,2,-1
1135,Cisco,Cisco Secure Desktop Installer ActiveX Control 1.x,1.x,2,1
1136,Cisco,CiscoWorks Common Services Software 4.x,4.x,2,0
1137,Cisco,Cisco IOS R11.x,11.x,1,-1
1138,Cisco,Cisco IOS XE 3.5.x,3.5.x,1,0
1139,Cisco,Cisco Prime Security Manager (PRSM) 9.x,9.x,2,0
1140,Cisco,Cisco TelePresence System 1100,,1,0
1141,Cisco,Cisco Secure ACS Solution Engine 3.x,3.x,1,-1
1142,Cisco,Cisco SAN-OS 3.x (MDS 9000 Switches),3.x,1,-1
1143,Cisco,Cisco Jabber 8.x,8.x,2,0
1144,Cisco,Cisco IP Communicator 2.x,2.x,2,-1
1145,Cisco,Cisco Adaptive Security Appliance (ASA) 9.x,9.x,1,0
1146,Cisco,NetworkMagic Pro 5.x,5.x,2,0
1147,Cisco,Cisco Digital Media Player 5.x,5.x,1,0
1148,Cisco,Cisco ACNS (Application and Content Networking System) 4.x,4.x,2,1
1149,Cisco,Cisco Global Site Selector (GSS) System Software 1.x,1.x,1,-1
1150,Cisco,Cisco IP Phone 7940,7940,2,-1
1151,Cisco,Cisco IP/VC 3500 Series,,1,-1
1152,Cisco,CiscoWorks Common Services Software 3.x,3.x,2,-1
1153,Cisco,Cisco NX-OS 6.x,6.x,1,0
1154,Cisco,Cisco TelePresence Video Communication Server (VCS),,2,0
1155,Cisco,Cisco 2650 Multiservice Platform 12.x,12.x,1,0
1156,Cisco,Cisco Ethernet Subscriber Solution Engine 1.x,1.x,1,-1
1157,Cisco,Cisco Trust Agent 1.x,1.x,2,-1
1158,Cisco,Cisco Okena StormWatch 3.x,3.x,2,-1
1159,Cisco,Cisco Unified E-Mail Interaction Manager 9.x,9.x,2,0
1160,Cisco,Cisco Unified Intelligent Contact Management Enterprise (ICME) 7.x,7.x,2,-1
1161,Cisco,Cisco Video Surveillance IP Gateway Encoder/Decoder 1.x,1.x,1,-1
1162,Cisco,Cisco Unified Contact Center Express 6.x,6.x,2,-1
1163,Cisco,Cisco MGX 8800 Series Multiservice Switches,,1,-1
1164,Cisco,Cisco IOS XE 3.9.x,3.9.x,1,0
1165,Cisco,Dsi Portal Navigator 1.x (extension for Firefox),1.x,2,0
1166,Cisco,Cisco MATE Design 5.x,5.x,2,0
1167,Cisco,Cisco TelePresence Server 2.x,2.x,1,0
1168,Cisco,Cisco Smart Collector 0.x,0.x,1,0
1169,Cisco,Linksys WRT350N,,1,-1
1170,Cisco,Cisco VideoScape Delivery System for Internet Streamer (VDS-IS) 3.x,3.x,1,0
1171,Cisco,Cisco Unified Intelligent Contact Management Enterprise 8.x,8.x,2,0
1172,Cisco,Cisco Web Security Appliance 7.x,7.x,1,0
1173,Cisco,Cisco 3945 Integrated Services Router 15.x,15.x,1,0
1174,Cisco,Cisco Aggregation Services Routers (ASR),,1,0
1175,Cisco,Cisco TelePresence Server 3.x,3.x,1,0
1176,Cisco,Cisco Traffic Anomaly Detector 5.x,5.x,1,-1
1177,Cisco,Cisco Network Services Manager 5.x,5.x,1,0
1178,Cisco,Cisco Edge 300 Digital Media Player,,1,0
1179,Cisco,Cisco AVS 3110 Application Velocity System,,1,-1
1180,Cisco,Cisco IOS 10.x,10.x,1,-1
1181,Cisco,Cisco TelePresence Readiness Assessment Manager (CTRAM) 1.x,1.x,2,-1
1182,Cisco,Cisco WAAS (Wide Area Application Services) 4.x,4.x,2,0
1183,Cisco,Cisco IP Communicator 8.x,8.x,2,0
1184,Cisco,Cisco Catalyst C3560E series,,1,0
1185,Cisco,Cisco Prime Network Control System (NCS) 2.x,2.x,1,0
1186,Cisco,Cisco VPN 5000 Client 5.x,5.x,2,-1
1187,Cisco,Linksys SPA927 VoIP Phone,1.x,1,-1
1188,Cisco,Cisco Business Edition 6000 8.x,8.x,2,0
1189,Cisco,Cisco Adaptive Security Appliance (ASA) 7.x,7.x,1,-1
1190,Cisco,Cisco IP Communicator 7.x,7.x,2,0
1191,Cisco,Cisco Firewall Services Module (FWSM) 3.x,3.x,2,-1
1192,Cisco,Cisco Secure ACS 4.x,4.x,2,-1
1193,Cisco,Cisco Unified Videoconferencing 5200 Series Products,,1,0
1194,Cisco,Cisco Unified SIP Phone 3905,,1,0
1195,Cisco,Cisco ASA Next-Generation Firewall 9.x (formerly Cisco ASA-CX Context-Aware Security),9.x,2,0
1196,Cisco,Cisco Unified Computing System (UCS) 2.x,2.x,1,0
1197,Cisco,Cisco EPC3925,,1,0
1198,Cisco,Cisco Application Control Engine (ACE) XML Gateway,,1,-1
1199,Cisco,"Cisco Security Monitoring, Analysis and Response System (CS-MARS) 4.x",4.x,1,-1
1200,Cisco,Cisco IOS 15.1,15.1,1,0
1201,Cisco,Cisco TelePresence System 1000,,1,0
1202,Cisco,Cisco Content Services Switch 11500 Series,,1,-1
1203,Cisco,Cisco Small Business SRP547W 1.x,1.x,1,0
1204,Cisco,Cisco IP Communicator 1.x,1.x,2,-1
1205,Cisco,Cisco ACNS (Application and Content Networking System) 5.x,5.x,2,0
1206,Cisco,Cisco Desktop Collaboration Experience DX650,,1,0
1207,Cisco,Cisco Cius 9.x,9.x,1,0
1208,Cisco,Cisco 2951 Integrated Services Router 15.x,15.x,1,0
1209,Cisco,Cisco TelePresence VX Clinical Assistant 1.x,1.x,1,0
1210,Cisco,Cisco Virtualization Experience Client 6000 Series,,1,0
1211,Cisco,Cisco Secure Services Client 4.x,4.x,2,-1
1212,Cisco,Cisco IOS XE 3.11.x,3.11.x,1,0
1213,Cisco,Cisco Unified Communications Manager 4.x,4.x,2,-1
1214,Cisco,Cisco WRVS4400N Wireless-N Gigabit Security Router,,1,0
1215,Cisco,Cisco Aggregation Services Routers (ASR) 5000 Series,,1,0
1216,Cisco,Linksys EasyLink Advisor (LELA) 3.x,3.x,2,0
1217,Cisco,Cisco Unified Web Interaction Manager 9.x,9.x,2,0
1218,Cisco,csvrloader32 ActiveX Control 2.x,2.x,2,0
1219,Cisco,Cisco Virtual Security Gateway (VSG) 4.x,4.x,1,0
1220,Cisco,Cisco Configuration Professional 1.x,1.x,2,0
1221,Cisco,Cisco Unified Contact Center Express 5.x,5.x,2,-1
1222,Cisco,Cisco MGX 8200 Series Edge Concentrators,,1,-1
1223,Cisco,Cisco 2620 Multiservice Platform 12.x,12.x,1,0
1224,Cisco,Cisco ATA 180 Series Analog Telephone Adaptors,,1,-1
1225,Cisco,Cisco IOS XE 3.8.x,3.8.x,1,0
1226,Cisco,Cisco Wireless LAN Controller (WLC) 7.x,7.x,2,0
1227,Cisco,Cisco MATE Live 5.x,5.x,2,0
1228,Cisco,Cisco TelePresence MCU MSE 8510 4.x,4.x,1,0
1229,Cisco,Cisco MS200X Series Ethernet Access Switch,,1,0
1230,Cisco,Cisco Enterprise Content Delivery System (ECDS) 2.x,2.x,1,0
1231,Cisco,Cisco UCS B-Series Blade Servers,,1,0
1232,Cisco,Cisco Unity 8.x,8.x,2,0
1233,Cisco,Okena StormWatch 2.x,2.x,2,0
1234,Cisco,Cisco Physical Access Gateway 1.x,1.x,1,-1
1235,Cisco,Cisco Email Security Appliance 7.x,7.x,1,0
1236,Cisco,Linksys NetCamPlayerWeb11gv2 ActiveX Control 1.x,1.x,2,-1
1237,Cisco,Linksys WVC11B Wireless-B Internet Video Camera 2.x,2.x,1,-1
1238,Cisco,WebEx Recording Format Player,,2,0
1239,Cisco,Cisco Telepresence Integrator C Series,,1,0
1240,Citrix Systems,Citrix CloudPlatform 3.x,3.x,2,0
1241,Citrix Systems,Citrix Profile management 4.x,4.x,2,0
1242,Citrix Systems,nsload ActiveX Control 8.x,8.x,2,0
1243,Citrix Systems,Citrix XenApp Online Plug-in 13.x,13.x,2,0
1244,Citrix Systems,Citrix Licensing 11.x,11.x,2,-1
1245,Citrix Systems,Citrix XenServer 5.5,5.5,1,1
1246,Citrix Systems,Citrix Access Gateway 8.x,8.x,1,1
1247,Citrix Systems,Citrix Usage Collector 1.x,1.x,2,0
1248,Citrix Systems,Citrix WinFrame 1.x,1.x,2,1
1249,Citrix Systems,Citrix Access Gateway 5.x,5.x,1,1
1250,Citrix Systems,Citrix NetScaler Gateway (formerly Citrix Access Gateway) 9.x,9.x,1,0
1251,Citrix Systems,Citrix Web Interface 2.x,2.x,2,-1
1252,Citrix Systems,Citrix XenDesktop 4.x,4.x,2,0
1253,Citrix Systems,Citrix Program Neighborhood Client 8.x,8.x,2,-1
1254,Citrix Systems,Citrix NetScaler SDX 9.x,9.x,1,0
1255,Citrix Systems,Citrix Web Interface 4.x,4.x,2,-1
1256,Citrix Systems,Citrix NSEPA ActiveX Control 8.x,8.x,2,0
1257,Citrix Systems,Citrix Receiver for Windows 4.x,4.x,2,0
1258,Citrix Systems,Citrix GoToAssist 7.x,7.x,2,-1
1259,Citrix Systems,Citrix Provisioning Services 5.x,5.x,2,0
1260,Citrix Systems,Citrix XenClient Enterprise 5.x,5.x,2,0
1261,Citrix Systems,Citrix ICA Clients 12.x,12.x,2,0
1262,Citrix Systems,Citrix Extranet 2.x,2.x,2,1
1263,Citrix Systems,Citrix Program Neighborhood Agent 9.x,9.x,2,-1
1264,Citrix Systems,Citrix Desktop Server 1.x,1.x,2,1
1265,Citrix Systems,Citrix XenServer 6.0,6,1,0
1266,Citrix Systems,Citrix Web Interface for MetaFrame Presentation Server 3.x,3.x,2,-1
1267,Citrix Systems,Citrix XenCenter 6.x,6.x,2,0
1268,Citrix Systems,Citrix nsepacom ActiveX Control 9.x,9.x,2,0
1269,Citrix Systems,Citrix Secure Gateway 3.x,3.x,2,-1
1270,Citrix Systems,Citrix ICA Clients 10.x,10.x,2,-1
1271,Citrix Systems,Citrix XenApp Fundamentals 3.x,3.x,2,0
1272,Citrix Systems,Citrix NetScaler Gateway (formerly Citrix Access Gateway) 10.x,10.x,1,0
1273,Citrix Systems,Citrix GoToMeeting 4.x,4.x,2,0
1274,Citrix Systems,Citrix NSEPA ActiveX Control 9.x,9.x,2,0
1275,Citrix Systems,Citrix Secure Access ActiveX Control 4.x,4.x,2,-1
1276,Citrix Systems,Citrix ICA Clients 6.x,6.x,2,-1
1277,Citrix Systems,Citrix NetScaler VPX 10.x,10.x,1,0
1278,Citrix Systems,Citrix XenServer 4.x,4.x,2,1
1279,Citrix Systems,Citrix Receiver for Android 3.x,3.x,2,0
1280,Citrix Systems,Citrix XenDesktop 3.x,3.x,2,1
1281,Citrix Systems,Citrix XenClient Enterprise 4.x,4.x,2,0
1282,Citrix Systems,Citrix XenMobile Device Manager 8.x,8.x,2,0
1283,Citrix Systems,Citrix NFuse Classic 1.x,1.x,2,-1
1284,Citrix Systems,Citrix Program Neighborhood Client 9.x,9.x,2,-1
1285,Citrix Systems,g2mdlax ActiveX Control 3.x,3.x,2,-1
1286,Citrix Systems,Citrix Access Essentials 2.x,2.x,2,1
1287,Citrix Systems,Citrix EdgeSight for XenApp 5.x,5.x,2,0
1288,Citrix Systems,Citrix Secure Gateway 1.x,1.x,2,-1
1289,Citrix Systems,Citrix NetScaler 10.x,10.x,1,0
1290,Citrix Systems,Citrix GoToAssist 10.x,10.x,2,0
1291,Citrix Systems,Citrix EdgeSight 4.x,4.x,2,1
1292,Citrix Systems,Citrix XenClient XT 3.x,3.x,2,0
1293,Citrix Systems,GoToMyPC 4.x,4.x,2,-1
1294,Citrix Systems,Citrix XenDesktop 2.x,2.x,2,1
1295,Citrix Systems,Citrix NFuse Elite,,2,-1
1296,Citrix Systems,Citrix Web Client 9.x,9.x,2,-1
1297,Citrix Systems,Citrix EdgeSight for Active Application Monitoring 5.x,5.x,2,0
1298,Citrix Systems,Citrix EdgeSight for NetScaler 1.x,1.x,2,-1
1299,Citrix Systems,Citrix XenApp 6.x,6.x,2,0
1300,Citrix Systems,Citrix Application Firewall 9.x,9.x,2,0
1301,Citrix Systems,Citrix MetaFrame 1.x for UNIX,1.x,2,-1
1302,Citrix Systems,Citrix NetScaler VPX 9.x,9.x,2,0
1303,Citrix Systems,Citrix ICA Clients 11.x,11.x,2,0
1304,Citrix Systems,Citrix Program Neighbourhood 10.x,10.x,2,-1
1305,Citrix Systems,Citrix EdgeSight 3.x,3.x,2,1
1306,Citrix Systems,Citrix Access Gateway Plug-in for Windows 10.x,10.x,2,0
1307,Citrix Systems,Citrix XenApp Online Plug-in 12.x,12.x,2,0
1308,Citrix Systems,Citrix XenClient XT 2.x,2.x,2,0
1309,Citrix Systems,Citrix CloudPlatform 4.x,4.x,2,0
1310,Citrix Systems,Citrix Secure Access Agent 4.x,4.x,2,-1
1311,Citrix Systems,Citrix Provisioning Services 6.x,6.x,2,0
1312,Citrix Systems,Citrix MetaFrame 1.x for Windows,1.x,2,-1
1313,Citrix Systems,Citrix GoToMeeting 2.x,2.x,2,-1
1314,Citrix Systems,Citrix GoToMeeting 3.x,3.x,2,-1
1315,Citrix Systems,Citrix Command Center 5.x,5.x,2,0
1316,Citrix Systems,Citrix EdgeSight for Load Testing 3.x,3.x,2,1
1317,Citrix Systems,Citrix Application Firewall 8.x,8.x,2,0
1318,Citrix Systems,Citrix XenServer 6.2,6.2,1,0
1319,Citrix Systems,Citrix XenDesktop 5.x,5.x,2,0
1320,Citrix Systems,GoToMyPC 5.x,5.x,2,-1
1321,Citrix Systems,Citrix MetaFrame XP for Windows 1.x,1.x,2,-1
1322,Citrix Systems,Citrix Receiver for Windows 3.x,3.x,2,0
1323,Citrix Systems,Citrix Aurema ARMTech 3.x,3.x,2,1
1324,Citrix Systems,Citrix Presentation Server Clients 10.x,10.x,2,-1
1325,Citrix Systems,Citrix XenDesktop 7.x,7.x,2,0
1326,Citrix Systems,Citrix Command Center 4.x,4.x,2,0
1327,Citrix Systems,Citrix Application Firewall 5.x,5.x,2,0
1328,Citrix Systems,Citrix XenCenter 5.x,5.x,2,0
1329,Citrix Systems,Citrix Advanced Access Control 4.x,4.x,2,-1
1330,Citrix Systems,Citrix Web Interface 5.x,5.x,2,-1
1331,Citrix Systems,Citrix Access Essentials 1.x,1.x,2,1
1332,Citrix Systems,Citrix CloudPortal Business Manager 1.x,1.x,2,0
1333,Citrix Systems,Citrix MetaFrame Presentation Server 3.x,3.x,2,-1
1334,Citrix Systems,Citrix Password Manager 4.x,4.x,2,1
1335,Citrix Systems,GoToMyPC 7.x,7.x,2,0
1336,Citrix Systems,Citrix Worx Home for iOS 8.x,8.x,2,0
1337,Citrix Systems,Citrix MetaFrame Secure Access Manager 2.x,2.x,2,1
1338,Citrix Systems,Citrix ICA Clients 7.x,7.x,2,-1
1339,Citrix Systems,Citrix XenApp 5.x,5.x,2,-1
1340,Citrix Systems,Citrix Receiver,1.x,2,0
1341,Citrix Systems,Citrix XenApp Online Plug-in - Web 12.x,12.x,2,0
1342,Citrix Systems,Deterministic Network Enhancer (DNE) 3.x,3.x,2,-1
1343,Citrix Systems,Citrix Program Neighborhood Agent 8.x,8.x,2,-1
1344,Citrix Systems,Citrix Presentation Server 4.x,4.x,2,-1
1345,Citrix Systems,Citrix Application Gateway for Cisco 6.x,6.x,2,1
1346,Citrix Systems,Citrix EdgeSight 5.x,5.x,2,0
1347,Citrix Systems,Citrix XenMobile MDX Toolkit &amp; SDK 2.x,2.x,2,0
1348,Citrix Systems,Citrix Access Gateway Plug-in for Windows 9.x,9.x,2,0
1349,Citrix Systems,Citrix XenApp Online Plug-in 11.x,11.x,2,-1
1350,Citrix Systems,Deterministic Network Enhancer (DNE) 2.x,2.x,2,-1
1351,Citrix Systems,Citrix Receiver for Mac 11.x,11.x,2,0
1352,Citrix Systems,Citrix XenServer 5.0,5,1,1
1353,Citrix Systems,Citrix GoToMeeting 5.x,5.x,2,0
1354,Citrix Systems,Citrix XenMobile App Controller 2.x,2.x,1,0
1355,Citrix Systems,Citrix Secure Gateway 2.x,2.x,2,-1
1356,Citrix Systems,Citrix Presentation Server Client 9.x,9.x,2,-1
1357,Citrix Systems,Citrix Access Gateway Plug-in for Windows 8.x,8.x,2,0
1358,Citrix Systems,Citrix Web Client 8.x,8.x,2,-1
1359,Citrix Systems,Citrix XenApp 4.x,4.x,2,0
1360,Citrix Systems,Citrix CloudPlatform 2.x,2.x,2,0
1361,Citrix Systems,Citrix Web Interface for MetaFrame Presentation Server 4.x,4.x,2,-1
1362,Citrix Systems,Citrix CloudPortal Services Manager 10.x,10.x,2,0
1363,Citrix Systems,Citrix XenServer 6.1,6.1,1,0
1364,Citrix Systems,Citrix ICA Clients 8.x,8.x,2,-1
1365,Citrix Systems,Citrix ICA Clients 9.x,9.x,2,-1
1366,Citrix Systems,Citrix NetScaler 9.x,9.x,1,-1
1367,Citrix Systems,Citrix XenApp Fundamentals 6.x,6.x,2,0
1368,Citrix Systems,Management Console 2.x for MetaFrame Presentation Server,2.x,2,-1
1369,Citrix Systems,GoToAssist Express 1.x,1.x,2,0
1370,Citrix Systems,Citrix XenServer 5.6,5.6,1,1
1371,Citrix Systems,Citrix MetaFrame Password Manager 2.x,2.x,2,-1
1372,Citrix Systems,Citrix Desktop Player for Mac 1.x,1.x,2,0
1373,Citrix Systems,Zenprise Device Manager 7.x,7.x,2,0
1374,Citrix Systems,Citrix Netscaler 8.x,8.x,1,-1
1375,Citrix Systems,Citrix HDX RealTime Optimization Pack for Microsoft Lync 2010 1.x,1.x,2,0
1376,Citrix Systems,Citrix Access Gateway 4.x,4.x,1,1
1377,Citrix Systems,Citrix ShareFile for Android 2.x,2.x,2,0
1378,Citrix Systems,Citrix VDI-in-a-Box 5.x,5.x,1,0
1379,Citrix Systems,Citrix NetScaler SDX 10.x,10.x,1,0
1380,Debian,Debian GNU/Linux 6.0,6,1,0
1381,Debian,traceroute-nanog 6.x,6.x,2,0
1382,Debian,Debian GNU/Linux 3.1,3.1,1,1
1383,Debian,osh 1.x,1.x,2,0
1384,Debian,trr19 1.x,1.x,2,0
1385,Debian,Debian GNU/Linux 4.0,4.x,1,1
1386,Debian,Debian GNU/Linux 7.x,7.x,1,0
1387,Debian,bsdmainutils 6.x,6.x,2,0
1388,Debian,apt 0.x,0.x,2,1
1389,Debian,Debian GNU/Linux 5.0,5,1,1
1390,Debian,log2mail 0.2.x,0.2.x,2,0
1391,Debian,Debian GNU/Linux 2.x,2.x,1,1
1392,Debian,Unzoo 4.x,4.x,2,0
1393,Debian,Debian GNU/Linux 3.0,3,1,1
1394,Debian,Aolserver 4.x,4.x,2,0
1395,Debian,common-lisp-controller 6.x,6.x,2,0
1396,Google,Sky Map 1.x,1.x,2,0
1397,Google,Google Toolbar 3.x,3.x,2,0
1398,Google,Google Play Music 4.x,4.x,2,0
1399,Google,Google Chrome 34.x,34.x,2,0
1400,Google,Google Picasa for Mac 3.x,3.x,2,0
1401,Google,YouTube for Android 3.x,3.x,2,0
1402,Google,Google Search Appliance,,1,-1
1403,Google,Google Drive for Android 1.x,1.x,2,0
1404,Google,Google Chrome 12.x,12.x,2,1
1405,Google,StageTV 6.x,6.x,2,0
1406,Google,Google Chrome for iOS 33.x,33.x,2,0
1407,Google,Google Toolbar 4.x,4.x,2,0
1408,Google,Google Earth 4.x,4.x,2,1
1409,Google,Silver Efex Pro 2.x,2.x,2,0
1410,Google,Google Gadget ActiveX Control 5.x,5.x,2,0
1411,Google,Google Chrome Frame 8.x,8.x,2,0
1412,Google,Google Japanese Input 0.x,0.x,2,0
1413,Google,Chromecast 1.x,1.x,2,0
1414,Google,Google Chrome 35.x,35.x,2,0
1415,Google,Google Toolbar 7.x,7.x,2,0
1416,Google,Google Japanese Input 1.x,1.x,2,0
1417,Google,Google Chrome 11.x,11.x,2,1
1418,Google,Google Toolbar 1.x,1.x,2,0
1419,Google,Google Web Toolkit 2.x,2.x,2,0
1420,Google,Nik Sharpener Pro 3.x,3.x,2,0
1421,Google,Google Picasa 3.x,3.x,2,0
1422,Google,Meebo Notifier 1.x,1.x,2,1
1423,Google,Google Korean IME 0.x,0.x,2,0
1424,Google,Google Chrome 24.x,24.x,2,1
1425,Google,Google Pinyin Input 3.x,3.x,2,0
1426,Google,Dfine 2.x,2.x,2,0
1427,Google,Zagat 1.x,1.x,2,0
1428,Google,Google Mini Search Appliance,,1,-1
1429,Google,Google POP and IMAP troubleshooter 1.x,1.x,2,0
1430,Google,HDR Efex Pro 1.x,1.x,2,0
1431,Google,Google Play Music 5.x,5.x,2,0
1432,Google,Google Chrome 15.x,15.x,2,1
1433,Google,Google Chrome 13.x,13.x,2,1
1434,Google,Google Calendar Sync 0.x,0.x,2,0
1435,Google,Google Play Sound Search 1.x,1.x,2,0
1436,Google,Google Play Services 3.x,3.x,2,0
1437,Google,Google Talk 1.x,1.x,2,1
1438,Google,Google Chrome 1.x,1.x,2,1
1439,Google,Google Gears 0.x,0.x,2,0
1440,Google,Maps 7.x,7.x,2,0
1441,Google,Google Chrome 7.x,7.x,2,1
1442,Google,O3D Plugin (extension for firefox) 0.x,0.x,2,-1
1443,Google,Google+ 3.x,3.x,2,0
1444,Google,Cloud Print 0.x,0.x,2,0
1445,Google,Google Chrome 30.x,30.x,2,1
1446,Google,Snapseed 1.x,1.x,2,0
1447,Google,Google Chrome 8.x,8.x,2,1
1448,Google,Google+ 4.x,4.x,2,0
1449,Google,Google Chrome 16.x,16.x,2,1
1450,Google,Nik Sharpener Pro 2.x,2.x,2,0
1451,Google,Google Web Toolkit 1.x,1.x,2,-1
1452,Google,Google Chrome for Android 31.x,31.x,2,1
1453,Google,Google Voice 0.x,0.x,2,0
1454,Google,Google Play Books 2.x,2.x,2,0
1455,Google,Google SketchUp 8.x,8.x,2,0
1456,Google,O3D 1.x,1.x,2,-1
1457,Google,Google Play Magazines 2.x,2.x,2,0
1458,Google,YouTube for Android 5.x,5.x,2,0
1459,Google,Google Chrome 18.x,18.x,2,1
1460,Google,Google Chrome 27.x,27.x,2,1
1461,Google,GoogleToolbarNotifier 4.x,4.x,2,0
1462,Google,Google Chrome to Phone 2.x,2.x,2,0
1463,Google,distcc 2.x,2.x,2,0
1464,Google,Google Chrome 28.x,28.x,2,1
1465,Google,YouTube for Android 4.x,4.x,2,0
1466,Google,mod_pagespeed 0.x,0.x,2,0
1467,Google,Guice 3.x,3.x,2,0
1468,Google,Google Chrome 2.x,2.x,2,1
1469,Google,Google Chrome 25.x,25.x,2,1
1470,Google,Google SketchUp 7.x,7.x,2,-1
1471,Google,Google TalkBack 3.x,3.x,2,0
1472,Google,Google Music Manager 1.x,1.x,2,0
1473,Google,Google Chrome 26.x,26.x,2,1
1474,Google,Google Chrome 6.x,6.x,2,1
1475,Google,Silver Efex Pro 1.x,1.x,2,0
1476,Google,Google Earth 7.x,7.x,2,0
1477,Google,Google Finance 2.x,2.x,2,0
1478,Google,GoogleToolbarNotifier 5.x,5.x,2,0
1479,Google,Google Apps 1.x,1.x,2,-1
1480,Google,Google Drive 1.x,1.x,2,0
1481,Google,Google Earth 5.x,5.x,2,1
1482,Google,Analog Efex Pro 1.x,1.x,2,0
1483,Google,Android SDK Tools 22.x,22.x,2,0
1484,Google,Google Chrome 5.x,5.x,2,1
1485,Google,Google Apps Sync 3.x,3.x,2,0
1486,Google,Google Chrome for Android 18.x,18.x,2,1
