Id,Vendor,Product,Version,Type,End-Of-Life
85,Adobe Systems,Adobe FrameMaker 6.x,6.x,2,1
86,Adobe Systems,Adobe BlazeDS 4.x,4.x,2,0
87,Adobe Systems,Adobe Connect 8.x,8.x,2,0
88,Adobe Systems,Adobe Photoshop Lightroom 1.x,1.x,2,1
89,Adobe Systems,Adobe Premiere Elements 7.x,7.x,2,1
90,Adobe Systems,Adobe LiveCycle 9.x,9.x,2,0
91,Adobe Systems,Adobe Premiere Pro CS5 5.x,5.x,2,0
92,Adobe Systems,Macromedia Fireworks MX,6.x,2,0
93,Adobe Systems,Adobe Reader XI 11.x,11.x,2,0
94,Adobe Systems,Adobe Premiere Elements 3.x,3.x,2,1
95,Adobe Systems,Adobe Photoshop Lightroom 5.x,5.x,2,0
96,Adobe Systems,Adobe Pagemaker 6.x,6.x,2,1
97,Adobe Systems,Adobe Connect Enterprise Server 6.x,6.x,2,0
98,Adobe Systems,Macromedia Contribute 2,,2,0
99,Adobe Systems,Macromedia Breeze 4.x,4.x,2,0
100,Adobe Systems,Adobe RoboHelp 9.x,9.x,2,0
101,Adobe Systems,Adobe After Effects CS6,11.x,2,0
102,Adobe Systems,Macromedia Director 8.x,8.x,2,0
103,Adobe Systems,Adobe Encore 5.x,5.x,2,0
104,Adobe Systems,Adobe Media Encoder CS6,6.x,2,0
105,Adobe Systems,Macromedia Flash 8 Video Encoder 1.x,1.x,2,0
106,Adobe Systems,Adobe Premiere Elements 4.x,4.x,2,1
107,Adobe Systems,Adobe Flash Player 10.x,10.x,2,1
108,Adobe Systems,Adobe Bridge CS4 3.x,3.x,2,0
109,Adobe Systems,Adobe Flash Player 11.x,11.x,2,0
110,Adobe Systems,Adobe Acrobat 9.x,9.x,2,1
111,Adobe Systems,Macromedia ColdFusion 5.x,5.x,2,0
112,Adobe Systems,Adobe Creative Suite 3 Web Standard,3.x,2,0
113,Adobe Systems,Adobe Illustrator 9.x,9.x,2,1
114,Adobe Systems,Adobe LiveCycle Reader Extensions 7.x,7.x,2,1
115,Adobe Systems,Adobe GoLive CS 7.x,7.x,2,1
116,Adobe Systems,Macromedia Flash Player 7.x,7.x,2,1
117,Adobe Systems,Adobe Reader for Palm OS 3.x,3.x,2,-1
118,Adobe Systems,Adobe Acrobat 5.x,5.x,2,1
119,Adobe Systems,Adobe Fireworks CS6,12.x,2,0
120,Adobe Systems,Adobe FrameMaker 7.x,7.x,2,1
121,Adobe Systems,Adobe InDesign CS3 5.x,5.x,2,1
122,Adobe Systems,Adobe Photoshop Album 1.x,1.x,2,1
123,Adobe Systems,Adobe LiveCycle 8.x,8.x,2,0
124,Adobe Systems,Macromedia FreeHand 10.x,10.x,2,1
125,Adobe Systems,Adobe RoboHelp 7.x,7.x,2,-1
126,Adobe Systems,Adobe InCopy 2.x,2.x,2,1
127,Adobe Systems,Adobe Download Manager 2.x,2.x,2,0
128,Adobe Systems,Macromedia RoboHelp Office X5,13.x,2,-1
129,Adobe Systems,Macromedia Flash Communication Server MX 1.x,1.x,2,0
130,Adobe Systems,Adobe RoboHelp 11.x,,2,0
131,Adobe Systems,Allaire JRun 3.0,3,2,1
132,Adobe Systems,Adobe Contribute CS5,6.x,2,0
133,Adobe Systems,Macromedia Flash Player 8.x,8.x,2,1
134,Adobe Systems,Adobe Photoshop CS 8.x,8.x,2,1
135,Adobe Systems,Adobe RoboHelp Server 7.x,7.x,2,-1
136,Adobe Systems,Adobe Encore CS6 6.x,6.x,2,0
137,Adobe Systems,Macromedia Flash 8.x,8.x,2,0
138,Adobe Systems,Adobe Photoshop Elements 6.x,6.x,2,1
139,Adobe Systems,Adobe AIR 1.x,1.x,2,1
140,Adobe Systems,Adobe GetPlus DLM 1.x (extension for Firefox),1.x,2,0
141,Adobe Systems,Adobe Photoshop Elements 3.x,3.x,2,1
142,Adobe Systems,Macromedia Jrun 3.x,3.x,2,0
143,Adobe Systems,Adobe Creative Suite 3 Web Premium,3.x,2,0
144,Adobe Systems,Adobe Illustrator 10.x,10.x,2,1
145,Adobe Systems,Adobe Document Server for Reader Extensions 6.x,6.x,2,1
146,Adobe Systems,Adobe After Effects 6.x,6.x,2,1
147,Adobe Systems,Adobe Fireworks CS5,,2,0
148,Adobe Systems,Adobe AIR 4.x,4.x,2,1
149,Adobe Systems,Adobe OnLocation CS4,4.x,2,0
150,Adobe Systems,Adobe Creative Suite 2 Standard,2.x,2,1
151,Adobe Systems,Adobe Acrobat 7.x,7.x,2,1
152,Adobe Systems,Adobe Acrobat 3D 8.x,8.x,2,0
153,Adobe Systems,Adobe Captivate 5.x,5.x,2,0
154,Adobe Systems,Adobe Version Cue 1.x,1.x,2,-1
155,Adobe Systems,Adobe BlazeDS 3.x,3.x,2,0
156,Adobe Systems,Macromedia Dreamweaver 3.x,3.x,2,1
157,Adobe Systems,Adobe Flash CS4 10.x,10.x,2,0
158,Adobe Systems,Macromedia Authorware 7.x,7.x,2,-1
159,Adobe Systems,Adobe Reader 6.x,6.x,2,1
160,Adobe Systems,Adobe Shockwave Player 11.x,11.x,2,1
161,Adobe Systems,Adobe Soundbooth CS5,3.x,2,0
162,Adobe Systems,PLSSpeller Module ActiveX Control 5.x,5.x,2,-1
163,Adobe Systems,Adobe Photoshop Album 2.x,2.x,2,1
164,Adobe Systems,Adobe Flash Professional CS6 12.x,12.x,2,0
165,Adobe Systems,Adobe Designer 6.x,6.x,2,-1
166,Adobe Systems,Adobe InCopy 1.x,1.x,2,1
167,Adobe Systems,Adobe Reader 9.x,9.x,2,1
168,Adobe Systems,Adobe OnLocation CS5,5.x,2,0
169,Adobe Systems,Adobe Bridge 1.x,1.x,2,1
170,Adobe Systems,Macromedia Fireworks 8.x,8.x,2,0
171,Adobe Systems,Adobe Photoshop CS5 12.x,12.x,2,0
172,Adobe Systems,Adobe Creative Suite 3 Design Standard,3.x,2,0
173,Adobe Systems,Adobe After Effects 4.x,4.x,2,1
174,Adobe Systems,RoboDemo 5.x,5.x,2,-1
175,Adobe Systems,Audition 1.x,1.x,2,1
176,Adobe Systems,Adobe RoboHelp Server 8.x,8.x,2,-1
177,Adobe Systems,Adobe Download Manager 1.x,1.x,2,1
178,Adobe Systems,Adobe Creative Suite 2 Premium,2.x,2,1
179,Adobe Systems,Adobe Edge Animate 1.x,1.x,2,0
180,Adobe Systems,Adobe ColdFusion 8.x,8.x,2,0
181,Adobe Systems,Adobe Flash Professional CC 13.x,13.x,2,0
182,Adobe Systems,Adobe Acrobat 8.x,8.x,2,1
183,Adobe Systems,Adobe Circulate 1.x,1.x,2,1
184,Adobe Systems,Macromedia Flash Player 4.x,4.x,2,1
185,Adobe Systems,Adobe Contribute 4.x,4.x,2,1
186,Adobe Systems,Adobe Acrobat 6.x,6.x,2,1
187,Adobe Systems,Adobe Audition 3.x,3.x,2,1
188,Adobe Systems,Barcode Module 5.x,5.x,2,-1
189,Adobe Systems,Adobe Extension Manager CS6,6.x,2,0
190,Adobe Systems,Adobe LiveCycle Workflow 6.x,6.x,2,1
191,Adobe Systems,Adobe Creative Suite 5.5 Design Premium,5.x,2,0
192,Adobe Systems,Adobe InDesign 2.x,2.x,2,1
193,Adobe Systems,Macromedia Dreamweaver MX 2004,,2,1
194,Adobe Systems,Adobe Photoshop CS2 9.x,9.x,2,1
195,Adobe Systems,Macromedia Dreamweaver 8.x,8.x,2,1
196,Adobe Systems,Adobe Creative Suite 3 Design Premium,3.x,2,1
197,Adobe Systems,Adobe Digital Editions 2.x,2.x,2,1
198,Adobe Systems,Macromedia HomeSite 5.x,5.x,2,0
199,Adobe Systems,Adobe Acrobat  3.x,3.x,2,1
200,Adobe Systems,Adobe Device Central CS3,,2,0
201,Adobe Systems,Adobe Photoshop CS3 10.x,10.x,2,1
202,Adobe Systems,Adobe FontInstaller  ActiveX Control 5.x,5.x,2,-1
203,Adobe Systems,Macromedia Jrun 2.x,2.x,2,-1
204,Adobe Systems,Adobe Illustrator CS4 14.x,14.x,2,1
205,Adobe Systems,Adobe RoboHelp Server 6.x,6.x,2,-1
206,Adobe Systems,Adobe Photoshop Elements 11.x,11.x,2,0
207,Adobe Systems,Adobe FrameMaker 8.x,8.x,2,1
208,Adobe Systems,Adobe Photoshop Elements 10.x,10.x,2,0
209,Adobe Systems,Adobe DNG Converter 7.x,7.x,2,0
210,Adobe Systems,Adobe Flash Media Server 4.x,4.x,2,0
