Vendor,Product,Version,Type,End-Of-Life
,"Gibberbot: Free Secure Chat 0.x",0.x,2,0
,"docked JS-Console 0.x (extension for Firefox)",0.x,2,0
,"SIPp 3.x",3.x,2,
,"AXMLComp ActiveX Control 1.x",1.x,2,
,"AM-DeadLink 2.x",2.x,2,
,"OnyX 2.x",2.x,2,0
,"NB5 ActiveX Control 5.x",5.x,2,
,"FlatNuke 2.x",2.x,2,
,"Week Calendar 1.x",1.x,2,0
,"SQL Reports 1.x (component for Joomla)",1.x,2,0
,"MzK Blog",,2,
,"WinUAE 14.x",14.x,2,
,"Himan Magazine 3.x",3.x,2,0
,"TYPO3 Backend 0.x (extension for Firefox)",0.x,2,
,"DriveCleanup 0.x",0.x,2,0
,"FicHive 1.x",1.x,2,
,"MuvEnum Address Bar 5.x",5.x,2,
,"Fresh Email Script 1.x",,2,
,"LastSharp 0.x",0.x,2,
,"Enspire 7.x",7.x,2,0
,"GrApple (Default Pro) 3.x (extension for Firefox)",3.x,2,
,"VideoDrive 2.x",2.x,2,0
,"JGroups 3.x",3.x,2,0
,"P3DActiveX ActiveX Control 0.x",0.x,2,0
,"Link Up Gold 2.x",2.x,2,
,"eNetman 1.x",1.x,2,
,"MilkShape 3D 1.x",1.x,2,0
,"Maximize Message Pane 0.x (extension for Firefox)",0.x,2,
,"Issue Dealer 0.x",0.x,2,
,"Netvouz Buttons 1.x (extension for Firefox)",1.x,2,
,"Todd Woolums ASP News Management  2.x",2.x,2,
,"ExplorerBarPlus 1.x",1.x,2,0
,"WebQuartz ActiveX Control 3.x",3.x,2,
,"Rack 1.x",1.x,2,0
,"Super Serious Stats 1.x",1.x,2,
,"Ezstream 0.x",0.x,2,
,"PwsPHP 1.x",1.x,2,1
,"openUrgence Vaccin 1.x",1.x,2,0
,"No Tab Close Button 0.x (extension for Firefox)",0.x,2,
,"ImDisk Virtual Disk Driver 1.x",1.x,2,0
,"Dashcode 2.x",2.x,2,0
,"DSDownload 1.x",1.x,2,
,"Xhosa Language Pack 2.x (extension for Firefox)",2.x,2,
,"eMCrypt 1.x",1.x,2,
,"BilboBlog 0.x",0.x,2,
,"VSFlex8l ActiveX Control 8.x",8.x,2,
,"MaxPayne 1.x",1.x,2,
,"GWD Text Editor 3.x",3.x,2,
,"IPTables/netfilter 1.4.x",1.4.x,2,0
,"MozLab 0.x (extension for Firefox)",0.x,2,
,"WOW64Menu 2.x",2.x,2,0
,"Verbix 6.x",6.x,2,
,"DSLR Notifier 2.x (extension for Firefox)",2.x,2,0
,"WordPress Mobiloud Plugin 2.x",2.x,2,0
,"HeyTell 3.x",3.x,2,0
,"WideChapter 3.x",3.x,2,
,"RISING OL2005 ActiveX Control 18.x",18.x,2,
,"phpMyRealty 3.x",3.x,2,0
,"Multi-Page Comment System 1.x",1.x,2,
,"TPTEST 3.x",3.x,2,
,"BeeHeard 1.x (component for Joomla!)",1.x,2,
,"ICTimeAttendance 1.x",1.x,2,0
,"R-Tech Commander Colony 1.x",1.x,2,0
,"Experian Bank Wizard Absolute 1.x",1.x,2,0
,"JBC Explorer 7.x",7.x,2,
,"alsa 1.x",1.x,2,0
,"PC Perspective Site Navigator v2 2.x (extension for Firefox)",2.x,2,
,"Back to Close 1.x (extension for Firefox)",1.x,2,0
,"MPM Guestbook 1.x",1.x,2,
,"PHP Pro Bid 6.x",6.x,2,
,"Midasa ActiveX Control 1.x",1.x,2,
,"JAF CMS 3.x",3.x,2,1
,"QMidi 2.x",2.x,2,0
,"Drupal Author Contact Module 6.x",6.x,2,0
,"DBD-mysql 4.x",4.x,2,
,"Fake GPS 1.x",1.x,2,0
,"NoteTab Pro 7.x",7.x,2,0
,"MOBackup 3.x",3.x,2,
,"Open Blog 1.x",1.x,2,0
,"Human Theme 0.x (extension for Firefox)",0.x,2,
,"FFmpeg 1.x",1.x,2,0
,"xpy 1.x",1.x,2,
,"collectd 4.x",4.x,2,0
,"vbox3 0.x",0.x,2,
,"Localization client 6.x (module for Drupal)",6.x,2,
,"Drupal Browscap Module 6.x",6.x,2,
,"WordPress Eventify Plugin 1.x",1.x,2,0
,"ReloadEvery 3.x (extension for Firefox)",3.x,2,0
,"Zoidcom 0.x",0.x,2,
,"NmnNewsletter 1.x",1.x,2,
,"Vista Mail 2.x (extension for Firefox)",2.x,2,
,"Crypto++ 5.x",5.x,2,
,"iSafer 3.x",3.x,2,
,"AudioPLUS 2.x",2.x,2,
,"vTuner 4.x",4.x,2,
,"The Logo Creator 5.x",5.x,2,0
,"TabHistory 0.x (extension for Firefox)",0.x,2,
,"YoruFukurou 2.x",2.x,2,0
,"phpXplorer 0.x",0.x,2,1
,"Digg This! 0.x (extension for Firefox)",0.x,2,0
,"GWiki 0.x",0.x,2,0
,"FLAC frontend 1.x",1.x,2,
,"typograf 1.x (extension for Firefox)",1.x,2,
,"Pre Job Board",,2,
,"AdVerifierADP ActiveX Control 1.x",1.x,2,
,"phpSkelSite 1.x",1.x,2,
,"Manx 1.x",1.x,2,0
,"BP Blog 7.x",7.x,2,
,"Ultimate Forum 1.x",1.x,2,
,"S5 Clan Roster (component for Joomla)",,2,1
,"Faq-O-Matic 2.x",2.x,2,
,"AboutPlug 1.x (extension for Firefox)",1.x,2,0
,"Drupal Spambot Module 6.x",6.x,2,0
,"Webshots Photo Album Downloader 0.x (extension for Firefox)",0.x,2,
,"SubText 1.x",1.x,2,
,"ArticleFriend Script 2.x",2.x,2,
,"Duplicati 1.x",1.x,2,0
,"Hacha 3.x",3.x,2,
,"PukiWiki Plus! 1.x",1.x,2,0
,"Picturenaut 2.x",2.x,2,0
,"Sifrei Kodesh Search 0.x (extension for Firefox)",0.x,2,
,"The 911 CD Builder 1.x",1.x,2,
,"Chipmunk Pwngame 1.x",1.x,2,0
,"Phoenity Classic 0.x (extension for Firefox)",0.x,2,
,"MP3 to iPod Audio Book Converter 0.x",0.x,2,
,"WordPress GigPress Plugin 2.x",2.x,2,0
,"RASH Quote Management System 1.x",1.x,2,
,"ArtPlus ePix Wallpaper Calendar 6.x",6.x,2,0
,"Blue Utopia",,2,
,"Esinti Web Design Gold Defter",,2,0
,"BS.Player 2.x",2.x,2,0
,"Waze 3.x",3.x,2,0
,"Usage Counter 0.x (extension for Firefox)",0.x,2,
,"LHTTPd 0.x",0.x,2,
,"PIGMy-SQL 1.x",1.x,2,
,"ZHPFix 1.x",1.x,2,0
,"Easy Youtube Video Downloader 1.x (extension for Firefox)",1.x,2,1
,"PrivDog 2.x",2.x,2,0
,"The Word 4.x",4.x,2,0
,"HelpMaker 7.x",7.x,2,
,"Planet 2.x",2.x,2,
,"Blogn 1.x",1.x,2,
,"Solar Empire Generic 2.x",2.x,2,
,"Mushaf Quran Kareem 1.x",1.x,2,0
,"p.mapper 3.x",3.x,2,
,"MacBird-II 0.x (extension for Firefox)",0.x,2,
,"Python logilab-common Module 0.x",0.x,2,0
,"Finnish Bank Payment (module for osCommerce)",,2,
,"Xymon 4.x",4.x,2,0
,"SSRSaver ActiveX Control 3.x",3.x,2,
,"OpenH323 Gatekeeper 2.x",2.x,2,
,"MonkeyCMS 1.x",1.x,2,0
,"CerbNG 1.x",1.x,2,
,"MigasCMS 1.x",1.x,2,0
,"Yell.com Toolbar 2.x (extension for Firefox)",2.x,2,
,"Fotolr Photo Studio 3.x",3.x,2,0
,"Admbook 1.x",1.x,2,1
,"refspoof 0.x (extension for Firefox)",0.x,2,
,"Square CMS 0.x",0.x,2,0
,"bigAPE-Backup 1.x (component for Mambo)",1.x,2,
,"PG Job Site Pro",,2,
,"Scania SD2 2.x",2.x,2,0
,"phpIndexPage 1.x",1.x,2,
,"openMosixview 1.x",1.x,2,
,"BlueSoft Auction Site Script",,2,0
,"TraxEx 3.x",3.x,2,0
,"Background Pi 4.x",4.x,2,
,"Distrust 0.x (extension for Firefox)",0.x,2,0
,"Fartkontrol.nu 1.x",1.x,2,0
,"IrfanView FlashPix PlugIn 3.x",3.x,2,1
,"GR Navigation 1.x (extension for Firefox)",1.x,2,
,"Drupal Custom Search Module 6.x",6.x,2,0
,"Bayesian Mail Filter (BMF) 0.9.x",0.9.x,2,
,"webClassifieds 1.x",1.x,2,
,"MSN Games by Zone.com ActiveX Control 9.x",9.x,2,
,"Zyke CMS 1.x",1.x,2,0
,"allcookies 1.x (extension for Firefox)",1.x,2,0
,"Build Name Setter 1.x (Plugin for Jenkins)",1.x,2,0
,"MyMicroBalance 1.x",1.x,2,
,"About:IceCream 1.x (extension for Firefox)",1.x,2,0
,"mAdserve 2.x",2.x,2,0
,"vqServer 1.x",1.x,2,1
,"Limny 3.x",3.x,2,0
,"MyBackup 1.x",1.x,2,
,"DateLine 1.x",1.x,2,0
,"GOOP Gallery 2.x",2.x,2,
,"Privoxy 3.x",3.x,2,
,"WMVHDRating ActiveX Control 1.x",1.x,2,
,"PHP TopSites PRO 2.x",2.x,2,
,"Tftpd32 4.x",4.x,2,0
,"Airport Inc. 1.x",1.x,2,
,"WebVDSetup ActiveX Control 1.x",1.x,2,0
,"AVZ Calculator 1.x (extension for Firefox)",1.x,2,0
,"HTML-Kit 1.x",1.x,2,
,"Hidden Menu 2.x",2.x,2,
,"LDR Counter 0.x (extension for Firefox)",0.x,2,
,"Tapatalk Plugin 1.x (module for Woltlab Burning Board)",1.x,2,0
,"Tcl Web Server 3.x",,2,
,"JagoanStore CMS",,2,0
,"Download All Files 1.x",1.x,2,0
,"Arora 0.x",0.x,2,0
,"Spanish (Spain) Dictionary 1.x (extension for Firefox)",1.x,2,0
,"Ace Stream Media 2.x",2.x,2,0
,"Plexus-Interpolation 1.x",1.x,2,0
,"WordPress DB Toolkit Plugin 0.x",0.x,2,0
,"Vivaty 0.x (extension for Firefox)",0.x,2,
,"mod_wsgi 3.x",3.x,2,0
,"SWR3 BoxWech2 2.x",2.x,2,
,"LnBlog 0.x",0.x,2,
,"iFileExplorer Free 2.x (iPhone/iPod touch)",2.x,2,0
,"MultiClipBoard 4.x",4.x,2,0
,"Enhanced CTorrent 3.x",3.x,2,
,"DVD Imager 1.x",1.x,2,0
,"WordPress Magn Drag and Drop Upload Plugin 1.x",1.x,2,0
,"Network Top (ntop) 3.x",3.x,2,
,"t1lib 5.x",5.x,2,
,"Flightradar24 Free 3.x",3.x,2,0
,"Nokia Synchronization 1.x (extension for Firefox)",1.x,2,
,"UrlRewriteFilter 3.x",3.x,2,0
,"Teeid 6.x",6.x,2,
,"Netprofiles 1.x",1.x,2,
,"Venalsur Booking Centre 2.x",2.x,2,
,"Openads for PostgreSQL (formerly phpPgAds) 2.x",2.x,2,1
,ZaoCMS,,2,
,"Comptel Provisioning and Activation",,2,0
,"FastJar 0.x",0.x,2,0
,"Exact e-Synergy ActiveX Control 2.x",2.x,2,0
,"Aeon Clouds 3.x (extension for Firefox)",3.x,2,
,"Automatic Call Recorder 3.x",3.x,2,0
,"Auto Close Download Dialog 0.x (extension for Firefox)",0.x,2,0
,"PBGNX ActiveX Control 1.x",1.x,2,
,"Crossday Discuz! Board 6.x",6.x,2,
,"QDM 2.x",2.x,2,0
,"Irmin CMS (formerly Pepsi CMS) 0.x",0.x,2,0
,"CitrusDB 2.x",2.x,2,0
,"MISBH ActiveX Control 1.x",1.x,2,0
,"ChinaUnix Forum Menu 0.x (extension for Firefox)",0.x,2,0
,"NoAdware 2.x",2.x,2,
,"Baltimore Ravens 1.x (extension for Firefox)",1.x,2,1
,"Enigma Haber 4.x",4.x,2,1
,"Sphera HostingDirector 3.x",3.x,2,1
,"GameTap Web Updater ActiveX Control 3.x",3.x,2,
,"Fusion News 3.x",3.x,2,
,"Font Mate 1.x",1.x,2,1
,"Telnet Launcher ActiveX Control 1.x",1.x,2,
,"eMusic Download Manager 5.x",5.x,2,0
,"XMMS 1.x",1.x,2,
,"C'Nedra 0.x",0.x,2,1
,"DropTeam 1.x",1.x,2,
,"Torbutton 1.x (extension for Firefox)",1.x,2,
,"OLAT LMS 7.x",7.x,2,0
,"Lektora 1.x",1.x,2,1
,"TDM (Tournament Data Manager) 1.x",1.x,2,
,"RPN Calculator Bar 1.x (extension for Firefox)",1.x,2,
,"DScaler 4.x",4.x,2,0
,"Transmission 2.x",2.x,2,0
,"GetIniFiles ActiveX Control 2.x",2.x,2,
,"Mambo LaiThai 4.x",4.x,2,
,"Ashampoo Photo Commander 6.x",6.x,2,
,"Vanilla Forums Van2Shout Plugin 1.x",1.x,2,0
,"ACVSWS 1.x",1.x,2,1
,"UebiMiau 2.x",2.x,2,
,"search ext 0.x (extension for Firefox)",0.x,2,
,"Projectfork 3.x (component for Joomla!)",3.x,2,0
,"Open in Browser 1.x (extension for Firefox)",1.x,2,
,"BurnAware Free Edition 2.x",2.x,2,
,"Swiki 1.x",1.x,2,
,"Lebisoft zdefter 7.x",7.x,2,0
,"AccuWeather 3.x",3.x,2,0
,"Hyperwords(tm) Toolbar 1.x (extension for Firefox)",1.x,2,
,"Bleachbit 1.x",1.x,2,0
,"netx 0.x",0.x,2,0
,"Drupal Simple Access Module 5.x",5.x,2,
,"My_eGallery 3.x",,2,
,"phpspot PHP RSS Builder",,2,
,"JCE Admin Component 1.x (component for Joomla)",1.x,2,
,"Testa OTMS 1.x",1.x,2,0
,"CUE Tools 2.x",2.x,2,0
,"Stephen Ostermiller Contact Form 2.x",2.x,2,
,"Libungif 4.x",4.x,2,
,"SimpleScreenshot 1.x",1.x,2,
,"myFireFox 3.x (extension for Firefox)",3.x,2,
,"Cyberfox 27.x",27.x,2,0
,"FrontEnd MP3 Player (fe_mp3player) 0.x (Extension for TYPO3)",0.x,2,
,"Mephistoles Internet Suite",,2,
,"Outlook ImEx 1.x",1.x,2,
,"BXCP 0.x",0.x,2,
,"LocalLink 0.x (extension for Firefox)",0.x,2,
,"MD5 &amp; SHA-1 Checksum Utility 1.x",1.x,2,0
,"GrApple (Zaphod) 2.x (extension for Firefox)",2.x,2,
,"Drupal Mime Mail Module 6.x",6.x,2,0
,"Growl Notifications 1.x (extension for Firefox)",1.x,2,
,"YoPoW 3.x",3.x,2,
,"OrbitalLauncher ActiveX Control 2.x",2.x,2,
,"zOOm Media Gallery 2.x (module for Mambo)",2.x,2,1
,"MailPluginFix 1.x",1.x,2,0
,"Solutive CMS",,2,0
,"N-Scape1 0.x (extension for Firefox)",0.x,2,
,SimpleRisk,,2,0
,"Area deCoder 0.x (extension for Firefox)",0.x,2,0
,"Hotscripts Type PHP Clone Script",,2,
,"FMOD Ex 4.x",4.x,2,
,"Desktop Architect 2.x",2.x,2,
,"yExplore 1.x (extension for Firefox)",1.x,2,
,"Frei-Chat 7.x",7.x,2,0
,"ExtCalendar 1.x",1.x,2,
,"Tor World Simple Vote CGI Script 1.x",1.x,2,
,"image fetcher 0.x (extension for Firefox)",0.x,2,
,"QTOFileManager 1.x",1.x,2,
,"Wordtrainer 3.x",3.x,2,0
,"Capesoft Email Server 4.x",4.x,2,
,"FOAFgen 0.x",0.x,2,
,"Verifier 1.x",1.x,2,
,"Soda 3D PDF Reader 1.x",1.x,2,0
,"Jax LinkLists 1.x",1.x,2,
,"The Mindfulness App 1.x",1.x,2,0
,"Gmail Notifier Pro 4.x",4.x,2,0
,"tcpdump 4.x",4.x,2,0
,"Iobloggo statusbar 0.x (extension for Firefox)",0.x,2,
,"TrBut 1.x (extension for Firefox)",1.x,2,
,"FFSJ 3.x",3.x,2,0
,"WordPress Image Gallery with Slideshow Plugin 1.x",1.x,2,0
,"ShixxNOTE 6.net",6.net,2,
,"ISO RELAX",,2,0
,"My Movie Database 3.x",,2,0
,"FreeFileSync 5.x",5.x,2,0
,"MaraDNS 1.2.x",1.2.x,2,1
,"Joomla! 1.x",1.x,2,1
,"Magix CMS 2.x",2.x,2,0
,"Arabic spell-checking dictionary 2.x (extension for Firefox)",2.x,2,0
,"Radiant CMS upload_manager Plugin",,2,0
,"HM Magazine Boom 1.x (extension for Firefox)",1.x,2,
,"MoSpray 1.x (component for Mambo)",1.x,2,
,"OneClickContact ActiveX Control 2.x",2.x,2,
,"Drupal Chatroom Module 4.x",4.x,2,
,"Mercury Mail Transport System 4.x",4.x,2,
,"pGina 3.x",3.x,2,0
,"Hyleos ChemView ActiveX Control 1.x",1.x,2,0
,"HealthMonitor 4.x",4.x,2,
,"Drupal Gallery formatter Module 7.x",7.x,2,0
,"Eesti keele speller 3.x (extension for Firefox)",3.x,2,0
,"python-gnupg 0.x",0.x,2,0
,"Centura Database 1.x",1.x,2,1
,"Drupal Media: Video Flotsam Module 6.x",6.x,2,0
,"SSVNC 1.x",1.x,2,
,"IP-TV Player 0.x",0.x,2,0
,"Whitehart 3.x (extension for Firefox)",3.x,2,
,"PolyEdit 5.x",5.x,2,0
,"Drupal Wishlist Module 6.x",6.x,2,0
,"VG Cats Forums Menu 1.x (extension for Firefox)",1.x,2,
,"capella Reader 7.x",7.x,2,0
,"vcart 3.x",3.x,2,
,"MoreUploadX ActiveX Control 1.x",1.x,2,0
,"Firefox Universal Uploader (fireuploader) 0.x (extension for Firefox)",0.x,2,
,"cwbiff 0.x",0.x,2,0
,"Pegasi Web Server (PWS) 0.2.x",0.2.x,2,
,"Check Up System for Thai Healthcare 4.x",4.x,2,
,"Drupal OpenSocial Shindig-Integrator Module 6.x",6.x,2,
,"MLM Script",,2,0
,"joomlaradio 5.x (component for Joomla)",5.x,2,
,"Firefox Showcase 0.x (extension for Firefox)",0.x,2,
,"DVGuestbookV2.0 1.x",1.x,2,
,"LDS Toolbar Extension 1.x (extension for Firefox)",1.x,2,
,"PHP Mini SQL Admin 1.x",1.x,2,0
,"json gem for Ruby 1.x",1.x,2,0
,"exentctl ActiveX Control 1.x",1.x,2,
,"RSSOwl 1.x",1.x,2,1
,"Fujitsu ProjectWEB Library ActiveX Control 2.x",2.x,2,
,"dproxy 0.x",0.x,2,
,"Search Orkut Communities 0.x (extension for Firefox)",0.x,2,
,"Matt's Whois",,2,
,"Winstripe Classic 3.x (extension for Firefox)",3.x,2,
,"MultiPoint FTP-Server 0.x",0.x,2,
,"JottiQ 1.x",1.x,2,0
,"MAXcms 3.x",3.x,2,
,"OPENLiMiT SignCubes 2.x",2.x,2,0
,"ViewVC 1.x",1.x,2,
,"Keene Digital Media Server 1.x",1.x,2,1
,"PerlSoft Gaastebuch 1.x",1.x,2,0
,"Rumba XML 1.x",1.x,2,
,"UFED Physical Analyzer",2.x,2,0
,"IrfanView Formats PlugIn 4.x",4.x,2,0
,"MidiCart ASP Shopping Cart",,2,1
,"Triforce Live Wallpaper 1.x",1.x,2,0
,"Drupal Protest Module 6.x",6.x,2,0
,"English (Australian) Dictionary 2.x (extension for Firefox)",2.x,2,0
,"libsmtp 0.x",0.x,2,0
,"GNB DesignForm 3.x",3.x,2,
,"Linfield Second Edition 4.x (extension for Firefox)",4.x,2,
,"Clear Vision 2 1.x",1.x,2,0
,"Vastal I-Tech Mag Zone",,2,
,"BPG Easy Publisher",,2,
,"Bricolage 1.x",1.x,2,
,"backport 2.x",2.x,2,0
,"Windows Doctor 2.x",2.x,2,0
,"Mdentaku 4.x",4.x,2,0
,"Geiriadur Cymraeg 0.x (extension for Firefox)",0.x,2,
,"Greenstone 2.x",2.x,2,0
,"EveryBlog 5.x (module for Drupal)",5.x,2,
,"AFCStarter ActiveX Control 1.x",1.x,2,
,"junitdoclet 1.x",1.x,2,0
,"Katalog Stron Hurricane 1.x",1.x,2,0
,"WordPress Formidable Pro Plugin 1.x",1.x,2,0
,"FlyVPN 2.x",2.x,2,0
,"Green Fiber 1.x (extension for Firefox)",1.x,2,
,"Mojolicious 1.x",1.x,2,0
,"BibORB 1.x",1.x,2,1
,"Quitomzilla 0.x (extension for Firefox)",0.x,2,
,"R10BatchMail 2.x",2.x,2,0
,"AquaFox 2.x (extension for Firefox)",2.x,2,0
,"RichStrong CMS",,2,1
,"tpwin ActiveX Control 1.x",1.x,2,0
,"Packerfox 0.x (extension for Firefox)",0.x,2,
,"WordPress mTouch Quiz Plugin 3.x",3.x,2,0
,"Cydia REPO Management 3.x",3.x,2,0
,"HLSW 1.x",1.x,2,
,"Linux-atm 2.x",2.x,2,0
,"OtomiGenX 2.x",2.x,2,
,"RouteConverter 2.x",2.x,2,0
,"w3blabor CMS 3.x",3.x,2,
,"e-Courier CMS",,2,
,"Htaccess Passwort Generator 1.x",1.x,2,
,"SubtitleEdit 3.x",3.x,2,0
,"SKK Tools 1.x",1.x,2,
,"WEBGR ActiveX Control 1.x",1.x,2,0
,"Formfiller 0.x (extension for Firefox)",0.x,2,
,"Free Windows Tuner 2.x",2.x,2,0
,"Game-Panel 2.x",2.x,2,1
,"Husrev BlackBoard 2.x",2.x,2,
,"Pittsburgh Steelers 1.x (extension for Firefox)",1.x,2,
,"Heirloom Mailx 12.x",12.x,2,0
,"Andromede 1.x",1.x,2,
,"Drupal Tinytax taxonomy block Module 5.x",5.x,2,
,"Emerald Editor 3.x",3.x,2,0
,"Tugux CMS 1.x",1.x,2,0
,"CryptoSwap Guerilla 2.x",2.x,2,
,"FIFA Online Web Launcher ActiveX Control 1.x",1.x,2,0
,"IMDb Preview 0.x (extension for Firefox)",0.x,2,
,"OpenVAS Manager 4.x",4.x,2,0
,"webcheck 1.x",1.x,2,
,"goostick for Firefox 1.x (extension for Firefox)",1.x,2,
,"Euroleague Basketball 1.x",1.x,2,0
,"Ralf Image Gallery (RIG) 0.x",0.x,2,
,"Lodel 0.x",0.x,2,
,"GRBoard 1.x",1.x,2,
,"M4P to MP3 Converter 3.x",3.x,2,0
,"DVDdb 0.x",0.x,2,
,"WordPress Mac Photo Gallery Plugin 2.x",2.x,2,0
,"FarsiNews 2.x",2.x,2,1
,"People Search and Public Record Toolbar 1.x (extension for Firefox)",1.x,2,
,"Abakt 0.x",0.x,2,1
,"Awesome Throbber 1.x (extension for Firefox)",1.x,2,0
,"hMailServer 5.x",5.x,2,0
,"ADWLauncher EX 1.x",1.x,2,0
,"jose 1.x",1.x,2,
,"cpCommerce 0.x",0.x,2,
,"Companionlink for google 3.x",3.x,2,
,"DVD neXt COPY Ultimate 3.x",3.x,2,0
,"Drupal Print Module 6.x (Printer, e-mail and PDF versions)",6.x,2,
,"Arabic for Smart Keyboard 1.x",1.x,2,0
,"Content Injector 1.x",1.x,2,1
,"Paquet d'idioma valencià 3.x (extension for Firefox)",3.x,2,
,"WordPress AVChat Video Chat Plugin 1.x",1.x,2,0
,"GoPro CineForm Studio 1.x",1.x,2,0
,"Internet Junkbuster 2.x",2.x,2,
,"WSpell Spelling Checker ActiveX Control 5.x",5.x,2,
,"Osiris 4.x",4.x,2,
,"My Little Forum 1.x",1.x,2,
,"LightSurfUploadControl Module ActiveX Control 1.x",1.x,2,
,"Oboinus 2.x",2.x,2,0
,"DXFscope 0.x",0.x,2,1
,"Bubble Totem 1.x",1.x,2,0
,"Arki-DB 1.x",1.x,2,
,"AHD Subtitles Maker 5.x",5.x,2,0
,"Teamspeak-Statusbar 0.x (extension for Firefox)",0.x,2,
,"Direct Mail Subscription (direct_mail_subscription) Extension for TYPO3 2.x",2.x,2,0
,"PHP Classifieds Script",,2,
,"CD Art Display 2.x",2.x,2,0
,"AccuWage 2009",,2,0
,"Small Screen Renderer 1.x (extension for Firefox)",1.x,2,
,"OpenNetAdmin 13.x",13.x,2,0
,"BufferZone 2.x",2.x,2,
,"The Uniform Server 5.x",5.x,2,0
,"SnapBack 0.x (extension for Firefox)",0.x,2,
,"RigNRoll 1.x",1.x,2,0
,"NASA Night Launch 0.x (extension for Firefox)",0.x,2,
,"CMSimple Classic 3.x",3.x,2,0
,"youbin 3.x",,2,
,"IDoBlog 1.x (component for Joomla)",1.x,2,
,"Drupal User Protect Module 6.x",6.x,2,
,"MyPHP Forum 3.x",3.x,2,1
,"Pocket 2.x",2.x,2,0
,"Easy2Sync for outlook 1.x",1.x,2,0
,"PHP CodeSniffer 1.x",1.x,2,0
,"Drupal Studio theme pack Module 6.x",6.x,2,0
,"CrypTool 1.x",1.x,2,
,"SecureBrowse 1.x (extension for Firefox)",1.x,2,
,"Brightcode Weblinks (component for Joomla)",,2,
,"BibCiter 1.x",1.x,2,
,"QContacts 1.x (component for Joomla!)",1.x,2,0
,"Metamod-P 1.x",1.x,2,
,"i_DB 1.x",1.x,2,
,"XP500 Advanced Sound Editor 1.x",1.x,2,0
,"MR Tech Link Wrapper Lite 2.x (extension for Firefox)",2.x,2,
,"WordPress Store Locator Plugin 2.x",2.x,2,0
,"Hardware Info Program for Win32 4.x",4.x,2,0
,"nLite 0.x",0.X,2,
,"osi_valid9j ActiveX Control 2.x",2.x,2,0
,"OutWit_Pack 0.x (extension for Firefox)",0.x,2,
,"IMDb Movies &amp; TV for Android 2.x",2.x,2,0
,"XORP 1.x",1.x,2,
,"zlib 1.x",1.x,2,
,"BusinessSpace 1.x",1.x,2,
,"Evidence Eliminator 6.x",6.x,2,
,"Driver Manager 7.x",7.x,2,0
,"Burak Yilmaz Blog 1.x",1.x,2,
,"disablemenu 0.x (extension for Firefox)",0.x,2,0
,"PgBouncer 1.x",1.x,2,0
,"Mondo Rescue 2.x",2.x,2,
,"VIPS 7.x",7.x,2,0
,"Sidebar Tabs 0.x (extension for Firefox)",0.x,2,
,"Hvordan man tegner:Anime Manga 1.x",1.x,2,0
,"OSADS 2.x",2.x,2,
,Megalith,,2,0
,"OpenWFE 1.x",1.x,2,1
,"MagicTweak 4.x",4.x,2,
,"Ranged Popular Posts (WordPress Plug-in) 1.x",1.x,2,0
,"RTP NetSuite 7.x",7.x,2,0
,"dsniff 2.x",2.x,2,1
,"Flexbackup 1.x",1.x,2,
,"The Weather Channel for Android 4.x",4.x,2,0
,"WordPress Knews Multilingual Newsletters Plugin 1.x",1.x,2,0
,"Megaupload SX.3.2 3.x (extension for Firefox)",3.x,2,
,"ClanMod 1.x",1.x,2,0
,"Elxis 2008",2008,2,0
,"rdachart ActiveX Control 5.x",5.x,2,
,"Mxmania File Upload Manager 1.x",1.x,2,
,"Limbo 1.x",1.x,2,
,"Community Polls 1.x (component for Joomla)",1.x,2,0
,"PressReader 5.x",5.x,2,0
,"image gallery 0.x (module for Exponent CMS)",0.x,2,
,"Drupal ImageField Module 6.x",6.x,2,0
,"WordPress WP Lead Management Plugin 3.x",3.x,2,0
,"LineShout 1.x",1.x,2,
,"Wikipedia History 0.x (extension for Firefox)",0.x,2,
,"ISTool 5.x",5.x,2,
,"WebExpert 5.x",5.x,2,
,"PSNUdate Module ActiveX Control 1.x",1.x,2,
,"WordPress Universal Post Manager Plugin 1.x",1.x,2,0
,"PacketFence 3.x",3.x,2,0
,"Webradiobar 1.x (extension for Firefox)",1.x,2,
,"Free Language Translator 2.x",2.x,2,0
,"Nensor CMS 2.x",2.x,2,0
,"Drupal Activity Module 6.x",6.x,2,0
,"Gmail Manager 0.x (extension for Firefox)",0.x,2,
,"YourArcadeScript 2.x",2.x,2,0
,"IDMOS 1.x",1.x,2,
,"SiaC - Share-in-a-Click 1.x (extension for Firefox)",1.x,2,
,"RogueKiller 8.x",8.x,2,0
,"JemScripts DownloadControl 1.x",1.x,2,1
,"Courier Authentication Library 0.x",0.x,2,
,"PS3 Media Server 1.x",1.x,2,0
,"ScatterChat 1.x",1.x,2,
,"psInclude 1.x",1.x,2,0
,"cmus 2.x",2.x,2,
,"SPAS II ActiveX Control 2.x",2.x,2,
,"nginx 1.0.x",1.0.x,2,0
,"Appointment Booking Pro 2.x (component for Joomla!)",2.x,2,0
,"tweetLA 1.x (component for Joomla)",1.x,2,0
,"NavBoard 1.x",1.x,2,
,"MR Tech Link Wrapper 2.x (extension for Firefox)",2.x,2,
,"Drupal Mass Contact Module 6.x",6.x,2,0
,"Trafik 1.x (extension for Firefox)",1.x,2,
,"WordPress Linenity Theme 1.x",1.x,2,0
